#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG     PAG 
L1_SingleEG10er2p5                                           164         1
L1_SingleEG15er2p5                                           165         1
L1_SingleEG26er2p5                                           166         1
L1_SingleEG34er2p5                                           167         1
L1_SingleEG36er2p5                                           168         1
L1_SingleEG38er2p5                                           169         1
L1_SingleEG40er2p5                                           170         1
L1_SingleEG42er2p5                                           171         1
L1_SingleEG45er2p5                                           172         1
L1_SingleEG50                                                173         1
L1_SingleEG60                                                174         1
L1_SingleEG8er2p5                                            163         1
L1_SingleIsoEG24er1p5                                        184         1
L1_SingleIsoEG24er2p1                                        183         1
L1_SingleIsoEG26er1p5                                        187         1
L1_SingleIsoEG26er2p1                                        186         1
L1_SingleIsoEG26er2p5                                        185         1
L1_SingleIsoEG28er1p5                                        190         1
L1_SingleIsoEG28er2p1                                        189         1
L1_SingleIsoEG28er2p5                                        188         1
L1_SingleIsoEG30er2p1                                        192         1
L1_SingleIsoEG30er2p5                                        191         1
L1_SingleIsoEG32er2p1                                        194         1
L1_SingleIsoEG32er2p5                                        193         1
L1_SingleIsoEG34er2p5                                        195         1
L1_SingleJet10erHE                                           330         1
L1_SingleJet120                                              312         1
L1_SingleJet120_FWD3p0                                       327         1
L1_SingleJet120er2p5                                         319         1
L1_SingleJet12erHE                                           331         1
L1_SingleJet140er2p5                                         320         1
L1_SingleJet140er2p5_ETMHF80                                 333         1
L1_SingleJet140er2p5_ETMHF90                                 334         1
L1_SingleJet160er2p5                                         321         1
L1_SingleJet180                                              313         1
L1_SingleJet180er2p5                                         322         1
L1_SingleJet200                                              314         1
L1_SingleJet20er2p5_NotBptxOR                                450         1
L1_SingleJet20er2p5_NotBptxOR_3BX                            451         1
L1_SingleJet35                                               309         1
L1_SingleJet35_FWD3p0                                        324         1
L1_SingleJet35er2p5                                          316         1
L1_SingleJet43er2p5_NotBptxOR_3BX                            452         1
L1_SingleJet46er2p5_NotBptxOR_3BX                            454         1
L1_SingleJet60                                               310         1
L1_SingleJet60_FWD3p0                                        325         1
L1_SingleJet60er2p5                                          317         1
L1_SingleJet8erHE                                            329         1
L1_SingleJet90                                               311         1
L1_SingleJet90_FWD3p0                                        326         1
L1_SingleJet90er2p5                                          318         1
L1_SingleLooseIsoEG28er1p5                                   180         1
L1_SingleLooseIsoEG30er1p5                                   181         1
L1_SingleMu0_BMTF                                              6         1
L1_SingleMu0_DQ                                                5         1
L1_SingleMu0_EMTF                                              8         1
L1_SingleMu0_OMTF                                              7         1
L1_SingleMu10er1p5                                            29         1
L1_SingleMu12_DQ_BMTF                                         13         1
L1_SingleMu12_DQ_EMTF                                         15         1
L1_SingleMu12_DQ_OMTF                                         14         1
L1_SingleMu12er1p5                                            30         1
L1_SingleMu14er1p5                                            31         1
L1_SingleMu15_DQ                                              16         1
L1_SingleMu16er1p5                                            32         1
L1_SingleMu18                                                 17         1
L1_SingleMu18er1p5                                            33         1
L1_SingleMu20                                                 18         1
L1_SingleMu22                                                 19         1
L1_SingleMu22_BMTF                                            20         1
L1_SingleMu22_EMTF                                            22         1
L1_SingleMu22_OMTF                                            21         1
L1_SingleMu25                                                 23         1
L1_SingleMu3                                                   9         1
L1_SingleMu5                                                  10         1
L1_SingleMu6er1p5                                             25         1
L1_SingleMu7                                                  12         1
L1_SingleMu7_DQ                                               11         1
L1_SingleMu7er1p5                                             26         1
L1_SingleMu8er1p5                                             27         1
L1_SingleMu9er1p5                                             28         1
L1_SingleMuCosmics                                             0         1
L1_SingleMuCosmics_BMTF                                        1         1
L1_SingleMuCosmics_EMTF                                        3         1
L1_SingleMuCosmics_OMTF                                        2         1
L1_SingleMuOpen                                                4         1
L1_SingleMuOpen_NotBptxOR                                    446         1
L1_SingleMuOpen_er1p1_NotBptxOR_3BX                          448         1
L1_SingleMuOpen_er1p4_NotBptxOR_3BX                          447         1
L1_SingleTau120er2p1                                         270         1
L1_SingleTau130er2p1                                         271         1
L1_TOTEM_1                                                   503         1
L1_TOTEM_2                                                   504         1
L1_TOTEM_3                                                   505         1
L1_TOTEM_4                                                   506         1
L1_TripleEG16er2p5                                           228         1
L1_TripleEG_16_12_8_er2p5                                    224         1
L1_TripleEG_16_15_8_er2p5                                    225         1
L1_TripleEG_18_17_8_er2p5                                    226         1
L1_TripleEG_18_18_12_er2p5                                   227         1
L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5                 373         1
L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5                 374         1
L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5                  372         1
L1_TripleMu0                                                  72         1
L1_TripleMu0_OQ                                               71         1
L1_TripleMu0_SQ                                               73         1
L1_TripleMu3                                                  74         1
L1_TripleMu3_SQ                                               75         1
L1_TripleMu_5SQ_3SQ_0OQ                                       76         1
L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9          85         1
L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9            86         1
L1_TripleMu_5_3_3                                             78         1
L1_TripleMu_5_3_3_SQ                                          79         1
L1_TripleMu_5_3p5_2p5                                         77         1
L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17            83         1
L1_TripleMu_5_3p5_2p5_OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17      82         1
L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17              84         1
L1_TripleMu_5_5_3                                             80         1
L1_UnpairedBunchBptxMinus                                    469         1
L1_UnpairedBunchBptxPlus                                     468         1
L1_ZeroBias                                                  459         1
L1_ZeroBias_copy                                             460         1
