path name,fit function,X0,X1,X2,X3,sigma,meanraw,X0err,X1err,X2err,X3err,ChiSqr
L1_SingleJetC20_NotBptxOR,quad,30.780969014094673,-4.109609232747188,0.23575544104223506,0.0,3.5061305276178913,0,0.5641604522495326,0.07468439718909589,0.002428987182611953,0.0,61895.009678154864
L1_QuadJetC60,quad,0.015666114649755807,0.0009501115682492645,0.00017018329105049509,0.0,0.004103849009403929,0,0.000660268097275263,8.740700974773871e-05,2.842785215487102e-06,0.0,0.08479733864414753
L1_DoubleJetC56_ETM60,quad,0.08297403198317688,0.014437432914117868,0.000977111138600563,0.0,0.02737664119932477,0,0.004404311388807357,0.0005830457776936133,1.8962761032361115e-05,0.0,3.7736342337003115
L1_SingleIsoEG18er,quad,1.906092083945806,0.43562625886367096,0.013687593465467048,0.0,0.629547247879827,0,0.1013027639329729,0.01341065215794756,0.00043615932319181937,0.0,1995.520227371279
L1_SingleIsoEG20,quad,1.5365933107624554,0.3104192278318142,0.012523235446944227,0.0,0.5407540932809408,0,0.08703882575604265,0.011522403527397088,0.0003747402414907239,0.0,1472.3094716294656
L1_SingleIsoEG25,quad,0.4830792356590131,0.12866275567681565,0.004259753752604595,0.0,0.2078778284192698,0,0.03344904671214236,0.004428045531673318,0.0001440152257316638,0.0,217.57841944574776
L1_DoubleEG6_HTT150,quad,0.2570023266767036,0.003719932069466164,0.0028269085845793194,0.0,0.05713636747012993,0,0.009193670234875436,0.0012170720100044981,3.958326784287081e-05,0.0,16.437082195477466
L1_EG25er_HTT100,quad,0.21535788223078928,0.02735739454715394,0.0021682115877323647,0.0,0.062385525142911014,0,0.010040339407568287,0.0013291634726223644,4.322842663511909e-05,0.0,19.595987117941398
L1_Mu12_EG10,quad,0.06017730946205253,0.010741757435449837,0.0008176153152153759,0.0,0.022691355738234453,0,0.0036522771008274976,0.0004834037455993513,1.5718774688645787e-05,0.0,2.58478607870031
L1_TripleEG_14_10_8,quad,0.20804699070234817,-0.004142358897087889,0.0023779419512086285,0.0,0.05407099346113553,0,0.008698824533265825,0.0011515599925082448,3.745303274925864e-05,0.0,14.720690201056403
L1_DoubleMu_10_Open,quad,0.08016102219113552,0.037335835006206845,0.0015811026447687738,0.0,0.06274001924630045,0,0.010090096307495376,0.0013357459516919609,4.344588249044437e-05,0.0,19.842938785746824
L1_SingleMu16,quad,0.19111139463919974,0.1955183026041903,0.0005594151153361614,0.0,0.19622004012663424,0,0.03156190779538889,0.004178244830303862,0.00013589865919346462,0.0,194.09011520652896
L1_SingleMu16er,quad,0.1926448466288027,0.13254345543450627,0.000652575466862393,0.0,0.17944759125762036,0,0.028862740428838053,0.003820890402762563,0.00012427501065939527,0.0,162.3274489991446
L1_SingleMu12,quad,0.45540657444131116,0.37669535317672204,0.0013767296797541537,0.0,0.5387735334680752,0,0.08666067424936406,0.011472333906033055,0.00037314066270714024,0.0,1463.2859555633686
L1_ETM50,quad,1.7678495171498296,-0.11689659027186572,0.024466169641738724,0.0,0.33209968468784024,0,0.05342857878861029,0.00707291962487764,0.00023003695289702678,0.0,555.3111598687562
L1_SingleEG5,quad,247.2232414400899,48.35671459967413,1.695707096289436,0.0,34.13696579912901,0,10.917243526542526,1.8384917166174848,0.07772428273467247,0.0,3039186.9877961166
L1_SingleMu7,quad,2.666103613701312,1.4469905660708609,0.008719952196122194,0.0,1.351137985231624,0,0.2173145633803571,0.02876866506901096,0.0009357151047109894,0.0,9202.717803739428
L1_SingleMu14er,quad,0.2650541352046966,0.16389330012855932,0.0009126280314269461,0.0,0.20478246116764023,0,0.03294026311320419,0.00436073391913028,0.00014183442026256574,0.0,211.39865212185734
L1_DoubleMu_12_5,quad,0.029312297244766417,0.012126989703382631,0.00025163629830488634,0.0,0.013743443760074955,0,0.002210663519052473,0.00029265380466785484,9.518658413837107e-06,0.0,0.9521554040335563
L1_DoubleEG_15_10,quad,0.7575474553736095,0.04440136127662955,0.007686279362710657,0.0,0.21695612573358397,0,0.03491079239015335,0.004621552221922038,0.00015030834472454571,0.0,236.99725108389993
L1_Mu0er_ETM40,quad,0.42680616639212743,-0.06451429955776969,0.006498354450232798,0.0,0.06694687947752631,0,0.01077433372536121,0.0014263359182023246,4.6388937923157255e-05,0.0,22.566289322404412
L1_QuadJetC36_TauJet52,quad,0.1611305512655814,-0.00866319309199573,0.0021366216232701274,0.0,0.031847696528634166,0,0.005123782110849462,0.0006782907594315498,2.2060443528304116e-05,0.0,5.106878522996182
L1_HTT100,quad,1.4365025595460241,0.11023153516051148,0.01616252251600737,0.0,0.5274382255153118,0,0.0848520723737847,0.011231601295320609,0.0003652568764648751,0.0,1398.4665678805425
L1_SingleEG10,quad,32.58373103438615,7.182394284590566,0.2099912177215302,0.0,10.668068762510035,0,1.7162092056371374,0.22719301552967056,0.007389161235245694,0.0,573021.7247974694
L1_SingleIsoEG25er,quad,0.38609842627612384,0.11563730436345501,0.0031174122458042857,0.0,0.15651278845115277,0,0.025181215677314944,0.00333351797185971,0.00010841788994056992,0.0,123.33863359698294
L1_DoubleJetC84,quad,0.35458084790795186,0.062396216131476154,0.0027668963802222686,0.0,0.0984602317984757,0,0.015842390874637055,0.00209724397097614,6.820974884545636e-05,0.0,48.811390832651156
L1_SingleEG15,quad,-99.07060733185416,18.443893237909688,-0.5110654856202582,0.0,1126.9582750504387,0,181.3073373946884,24.00163908950364,0.7806206017892746,0.0,6394625991.902966
L1_Mu5_DoubleEG5,quad,7.046217441554279,-3.396659880254034e-13,5.18373771225782e-14,0.0,1.9361331157688808e-12,0,1.7080261701365667e-12,2.7654348118140135e-13,1.109640047101478e-14,0.0,3.036375268001301e-21
L1_Mu4_EG18,quad,0.11345584919102797,0.008659629727155026,0.0016021691975900694,0.0,0.03963882571502212,0,0.006377729165212936,0.000844289860081478,2.745918306196727e-05,0.0,7.911175797971801
L1_ETT60,quad,553.8791658075162,-133.53966249078292,23.127105494663954,0.0,80.63261575579497,0,25.783205415796402,4.341946298437918,0.1835619104733101,0.0,16956221.63120533
L1_SingleJetC32_NotBptxOR,quad,1.4808647860958821,-0.2017366640745683,0.01155382691685376,0.0,0.1611947885862634,0,0.025934260183240285,0.0034332126130111208,0.00011166055471230071,0.0,130.82823093220873
L1_SingleJet128,quad,0.2060257049708753,0.05691686952981874,0.0015989722270934648,0.0,0.07146844912555139,0,0.01149878845413201,0.0015222268823460424,4.950827901981777e-05,0.0,25.717466974772048
L1_ETM60,quad,0.4380351410727362,0.027678476828671694,0.005843734227685063,0.0,0.11863867339087499,0,0.01908444876963712,0.002526405673452401,8.216833641989139e-05,0.0,70.86830383857168
L1_QuadMu0,quad,0.0015087160462357568,-0.00013642242920604384,2.8609340241031818e-05,0.0,0.0007464978429020927,0,0.00012007693460535682,1.5896135458382665e-05,5.170270584399255e-07,0.0,0.002809142767495144
L1_Jet32_MuOpen_EG10_MuEGNotWdPhi3_JetMuWdPhi1,quad,0.35084823200708015,-0.040544483129151834,0.005379014851185772,0.0,0.06575303368379107,0,0.01057909637003135,0.0014004728896586619,4.5548317384247964e-05,0.0,21.768628343460577
L1_DoubleEG_22_10,quad,0.2953593392146451,0.02443347427558995,0.0027693343281459657,0.0,0.08771674314200567,0,0.014114450992538797,0.0018684911551395211,6.076951229582479e-05,0.0,38.74043308316341
L1_Mu0er_ETM55,quad,0.05664110606164788,-0.0024849527000902275,0.0008373753226579601,0.0,0.012706034895811135,0,0.0020444302656112013,0.00027064464768847306,8.802292625824227e-06,0.0,0.8128671301649263
L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1,quad,0.02512362880838112,-0.0018837315729788341,0.0004491586955572028,0.0,0.006644868004080411,0,0.0010691286602638628,0.00014153256572955672,4.603132139636446e-06,0.0,0.2223167534359657
L1_Mu5_EG20,quad,0.055464498988816155,0.0061931184113797715,0.0006990662213624008,0.0,0.018455651408311357,0,0.0029692684445584774,0.00039307482973240256,1.2784199479618052e-05,0.0,1.7149767319372038
L1_SingleEG25,quad,0.9980984261910725,0.1966426940374516,0.008543363366131153,0.0,0.34781212976836756,0,0.05595705267866866,0.007407648630666038,0.00024092351312920995,0.0,609.1004527865291
L1_SingleEG20,quad,2.2379574432747464,0.40863744380588063,0.01815465728513779,0.0,0.7353553386138003,0,0.11830198156518139,0.015660906625257497,0.0005093501466554765,0.0,2722.6635317300584
L1_HTT175,quad,0.2581672420891328,0.03649130437203303,0.002474705097050711,0.0,0.07187890321645098,0,0.011564895739141576,0.001530975621217009,4.979269820457021e-05,0.0,26.013713823465626
L1_DoubleIsoTau40er,quad,0.08959670808448951,0.03546633109736418,-3.728668682976046e-05,0.0,0.027813276981246617,0,0.004475660577836986,0.000592497809051163,1.9270012244346308e-05,0.0,3.8949671253529585
L1_ETM70,quad,0.1430516814002608,0.031847630211997054,0.0018995988334851322,0.0,0.05557455370176645,0,0.008939851123013194,0.0011834574728587437,3.84904385526245e-05,0.0,15.550753681422883
L1_SingleJet92,quad,0.9537555664686244,0.23246209558352413,0.007689979483210918,0.0,0.32504721831802086,0,0.05229086231491727,0.006922262459002612,0.0002251366462652788,0.0,531.9764199761854
L1_Mu5_IsoEG18,quad,0.04936250006370173,0.004842022486109578,0.0006755534173873107,0.0,0.017051601979999092,0,0.002743487701018617,0.0003631851863462133,1.1812027605353543e-05,0.0,1.4639621499744957
L1_Mu16er_TauJet20er,quad,0.045324097450443364,0.015431645037955233,0.00039938213200852574,0.0,0.01853142431141659,0,0.002981198125453074,0.00039465254612456495,1.2835554334289724e-05,0.0,1.7290879140941515
L1_SingleIsoEG22er,quad,0.7880671251792876,0.20515743109321727,0.006056496587487237,0.0,0.2873322292757666,0,0.04622378565147336,0.006119115753774554,0.00019901579950456667,0.0,415.688643252229
L1_DoubleJetC112,quad,0.10566048773226533,0.020551091326865386,0.0007671085773140598,0.0,0.030278035766084843,0,0.004872000413509325,0.0006449653281488245,2.0976503454320134e-05,0.0,4.615883830006396
L1_Mu3_JetC52_WdEtaPhi2,quad,0.2565440984886345,0.03713904500306241,0.0028962669790343386,0.0,0.07821347231524632,0,0.012582601689981267,0.0016656912258547416,5.417433836671479e-05,0.0,30.800843411845285
L1_Mu6_HTT100,quad,0.061601400387801986,0.004860954587046634,0.0007035290145807554,0.0,0.015844187175007494,0,0.0025492740401104924,0.00033747629573193635,1.0975907847573863e-05,0.0,1.2639776755366432
L1_SingleEG30,quad,0.5044890214556077,0.10603090415346136,0.0045920423190587145,0.0,0.18650205109734147,0,0.03000318057378728,0.003971842943533931,0.00012917911398007266,0.0,175.13248084479986
L1_Mu16er_IsoTau32er,quad,0.012675825149339952,0.005530657457329772,3.133593638246076e-05,0.0,0.005079720831081496,0,0.0008172731948535774,0.00010819146007904694,3.5187683350228213e-06,0.0,0.12992094333887674
L1_SingleEG35,quad,0.28589077997816303,0.06353119668039492,0.0027896758575920275,0.0,0.11156913037444399,0,0.01795140367126605,0.0023764304109300228,7.728971024775949e-05,0.0,62.67402274238624
