n   , L1AlgoName                                                   , 1.6E34 , 1.45e34 , 1.35e34 , 1.25e34 , 1.15e34 , 1.05e34 , 9.5e33 , 8.5e33 , 7.5e33 , 5e33
80  , L1_SingleJet16                                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 50000
81  , L1_SingleJet20                                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 45000
82  , L1_SingleJet35                                               , 5200   , 5000    , 4500    , 4000    , 3500    , 3000    , 2200   , 1800   , 1600   , 1080
83  , L1_SingleJet60                                               , 2200   , 2000    , 1800    , 1500    , 1200    , 1000    , 700    , 600    , 500    , 360
84  , L1_SingleJet90                                               , 3200   , 3000    , 2500    , 2000    , 1500    , 1200    , 850    , 680    , 600    , 420
85  , L1_SingleJet120                                              , 320    , 300     , 250     , 180     , 150     , 100     , 42     , 36     , 30     , 20
86  , L1_SingleJet140                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
87  , L1_SingleJet150                                              , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
88  , L1_SingleJet160                                              , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
89  , L1_SingleJet170                                              , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
90  , L1_SingleJet180                                              , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
91  , L1_SingleJet200                                              , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
92  , L1_DoubleJetC40                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1000
93  , L1_DoubleJetC50                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 400
94  , L1_DoubleJetC60                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 200
95  , L1_DoubleJetC80                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
96  , L1_DoubleJetC100                                             , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
97  , L1_DoubleJetC112                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
98  , L1_DoubleJetC120                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
99  , L1_TripleJet_84_68_48_VBF                                    , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
100 , L1_TripleJet_88_72_56_VBF                                    , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
101 , L1_TripleJet_92_76_64_VBF                                    , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
102 , L1_QuadJetC40                                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
103 , L1_QuadJetC50                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
104 , L1_QuadJetC60                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
105 , L1_SingleTau80er                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
106 , L1_SingleTau100er                                            , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
107 , L1_SingleTau120er                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
109 , L1_DoubleIsoTau28er                                          , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
110 , L1_DoubleIsoTau30er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
111 , L1_DoubleIsoTau32er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
114 , L1_DoubleTau50er                                             , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
115 , L1_HTT120                                                    , 58000  , 52000   , 50000   , 45000   , 40000   , 35000   , 25000  , 20000  , 17500  , 12500
116 , L1_HTT160                                                    , 14000  , 12000   , 11000   , 10500   , 10000   , 9500    , 7500   , 6000   , 5250   , 3500
117 , L1_HTT200                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
118 , L1_HTT220                                                    , 9500   , 8000    , 7800    , 7500    , 7000    , 6500    , 5000   , 4000   , 3500   , 2500
119 , L1_HTT240                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
120 , L1_HTT255                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
121 , L1_HTT270                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
122 , L1_HTT280                                                    , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
123 , L1_HTT300                                                    , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
124 , L1_HTT320                                                    , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
125 , L1_ETM80                                                     , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
126 , L1_ETM90                                                     , 0      , 0       , 0       , 1       , 1       , 1       , 1      , 1      , 1      , 1
127 , L1_HTM50                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
128 , L1_HTM70                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
129 , L1_HTM80                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
130 , L1_HTM100                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
131 , L1_HTM120                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
132 , L1_HTM130                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
133 , L1_HTM140                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
134 , L1_HTM150                                                    , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
135 , L1_ETT25                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
137 , L1_ETM30                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
138 , L1_ETM40                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 500
139 , L1_ETM50                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
140 , L1_ETM60                                                     , 1200   , 1000    , 900     , 800     , 200     , 150     , 100    , 80     , 70     , 50
141 , L1_ETM70                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 1      , 1      , 1
142 , L1_ETM100                                                    , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
143 , L1_ETM120                                                    , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
144 , L1_Mu5_EG15                                                  , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 1      , 1      , 1
145 , L1_Mu5_EG20                                                  , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
146 , L1_Mu5_EG23                                                  , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
147 , L1_Mu5_IsoEG18                                               , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
148 , L1_Mu5_IsoEG20                                               , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
149 , L1_Mu12_EG10                                                 , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 1      , 1      , 1
150 , L1_Mu20_EG10                                                 , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
151 , L1_Mu20_EG17                                                 , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
152 , L1_Mu23_IsoEG10                                              , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
153 , L1_Mu23_EG10                                                 , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
154 , L1_Mu16er_Tau20er                                            , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
155 , L1_Mu16er_Tau24er                                            , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
156 , L1_Mu18er_Tau20er                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
157 , L1_Mu18er_Tau24er                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
158 , L1_Mu18er_IsoTau26er                                         , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
159 , L1_Mu20er_IsoTau26er                                         , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
166 , L1_DoubleMu7_EG14                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
167 , L1_DoubleMu7_EG7                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
168 , L1_Mu6_DoubleEG17                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
169 , L1_Mu6_DoubleEG10                                            , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
170 , L1_Mu3_JetC16_dEta_Max0p4_dPhi_Max0p4                        , 550    , 430     , 430     , 430     , 420     , 400     , 300    , 240    , 200    , 150
171 , L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4                        , 25     , 20      , 20      , 20      , 18      , 15      , 12     , 10     , 8      , 6
172 , L1_Mu6_HTT200                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
173 , L1_Mu8_HTT150                                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
174 , L1_EG27er_HTT200                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
175 , L1_EG25er_HTT125                                             , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 1
176 , L1_DoubleEG6_HTT255                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
177 , L1_QuadJetC36_Tau52                                          , 75     , 60      , 60      , 60      , 54      , 50      , 42     , 34     , 30     , 20
179 , L1_Jet32_DoubleMu_10_0_dPhi_Jet_Mu0_Max0p4_dPhi_Mu_Mu_Min1p0 , 120    , 100     , 95      , 90      , 80      , 70      , 60     , 50     , 40     , 30
180 , L1_Jet32_Mu0_EG10_dPhi_Jet_Mu_Max0p4_dPhi_Mu_EG_Min1p0       , 220    , 190     , 180     , 170     , 160     , 150     , 110    , 90     , 80     , 60
181 , L1_DoubleJetC60_ETM60                                        , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
182 , L1_Mu0er_ETM40                                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
183 , L1_Mu0er_ETM55                                               , 0      , 0       , 0       , 0       , 0       , 1       , 1      , 1      , 1      , 1
184 , L1_Mu10er_ETM30                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 1      , 1
185 , L1_Mu10er_ETM50                                              , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
186 , L1_Mu14er_ETM30                                              , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
187 , L1_HTM80_HTT220                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
188 , L1_HTM60_HTT260                                              , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
196 , L1_DoubleEG_22_12                                            , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
197 , L1_DoubleEG_22_15                                            , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
198 , L1_MU20_EG15                                                 , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
199 , L1_IsoEG22er_Tau20er_dEta_Min0p2                             , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
210 , L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4                       , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
212 , L1_DoubleJet8_ForwardBackward                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
213 , L1_DoubleJet12_ForwardBackward                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
214 , L1_DoubleJet16_ForwardBackward                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
215 , L1_Mu3_JetC16                                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
216 , L1_Mu3_JetC60                                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
217 , L1_Mu3_JetC120                                               , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
256 , L1_DoubleMu0_ETM40                                           , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 1      , 1      , 1
257 , L1_DoubleMu0_ETM55                                           , 0      , 0       , 0       , 1       , 1       , 1       , 1      , 1      , 1      , 1
258 , L1_SingleEG32                                                , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
259 , L1_SingleEG36                                                , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
260 , L1_SingleEG38                                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
261 , L1_SingleIsoEG32                                             , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
262 , L1_SingleIsoEG36                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
263 , L1_SingleIsoEG32er                                           , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
264 , L1_DoubleIsoTau33er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
265 , L1_DoubleIsoTau34er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
266 , L1_DoubleIsoTau35er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
267 , L1_DoubleMu0er1p4_dEta_Max1p8_OS                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
268 , L1_IsoEG22er_IsoTau26er_dEta_Min0p2                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
269 , L1_IsoEG18er_IsoTau24er_dEta_Min0p2                          , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
270 , L1_IsoEG20er_IsoTau25er_dEta_Min0p2                          , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
271 , L1_ETM75_Jet60_dPhi_Min0p4                                   , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
272 , L1_ETM75                                                     , 0      , 0       , 0       , 0       , 0       , 0       , 1      , 1      , 1      , 1
273 , L1_ETM85                                                     , 0      , 0       , 0       , 0       , 1       , 1       , 1      , 1      , 1      , 1
274 , L1_ETM95                                                     , 0      , 0       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
275 , L1_Mu20_IsoEG6                                               , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
276 , L1_TripleMu_5_0_0                                            , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
277 , L1_DoubleEG_25_12                                            , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
278 , L1_DoubleIsoTau36er                                          , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
279 , L1_Mu22er_IsoTau26er                                         , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
280 , L1_Mu25er_IsoTau26er                                         , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
283 , L1_DoubleMu0_ETM60                                           , 0      , 0       , 0       , 1       , 0       , 0       , 0      , 0      , 0      , 0
284 , L1_DoubleMu0_ETM65                                           , 0      , 1       , 1       , 1       , 0       , 0       , 0      , 0      , 0      , 0
285 , L1_DoubleMu0_ETM70                                           , 1      , 1       , 1       , 1       , 0       , 0       , 0      , 0      , 0      , 0
286 , L1_ETM105                                                    , 0      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
287 , L1_ETM110                                                    , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
288 , L1_ETM115                                                    , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
289 , L1_DoubleTau70er                                             , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
290 , L1_DoubleJet_90_30_Mj30j30_620                               , 1000   , 1000    , 1000    , 1000    , 1000    , 1000    , 1000   , 1000   , 1000   , 1000
292 , L1_DoubleJet30_Mj30j30_400_Mu6                               , 1000   , 1000    , 1000    , 1000    , 1000    , 1000    , 1000   , 1000   , 1000   , 1000

#200 , L1_SingleMuOpen_NotBptxOR_3BX                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
#201 , L1_SingleJetC20_NotBptxOR_3BX                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
#202 , L1_SingleJetC40_NotBptxOR_5BX                                , 0      , 0       , 0       , 0       , 0       , 0       , 0      , 0      , 0      , 0
#203 , L1_SingleJetC40_NotBptxOR_3BX                                , 1      , 1       , 1       , 1       , 1       , 1       , 1      , 1      , 1      , 1
