n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
86   , L1_DoubleEG_23_10                                              , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim|AlCa     ,                                 ,     
87   , L1_DoubleEG_24_17                                              , 1      , 1      , 0      , 0      , 1      , 1      , EG          , Slim|AlCa     ,                                 ,     
88   , L1_DoubleEG_25_12                                              , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim          ,                                 ,     
89   , L1_DoubleEG_25_13                                              , 0      , 0      , 0      , 0      , 1      , 1      , EG          , Slim          ,                                 ,     
90   , L1_DoubleEG_25_14                                              , 1      , 1      , 1      , 1      , 1      , 1      , EG          , Slim          ,                                 ,     
91   , L1_TripleEG_14_10_8                                            , 0      , 0      , 0      , 0      , 0      , 0      , EG          , Slim          ,                                 ,     
92   , L1_TripleEG_18_17_8                                            , 1      , 1      , 0      , 0      , 1      , 1      , EG          , Slim          ,                                 ,     
100  , L1_SingleTau20                                                 , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Tau           , L1TDPG85(Dummy)                 ,     
101  , L1_SingleTau80er2p1                                            , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Slim          ,                                 ,     
102  , L1_SingleTau100er2p1                                           , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Slim          ,                                 ,     
103  , L1_SingleTau120er2p1                                           , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
104  , L1_DoubleTau50er2p1                                            , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Slim          ,                                 ,     
105  , L1_DoubleTau70er2p1                                            , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
106  , L1_DoubleIsoTau28er2p1                                         , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Slim          ,                                 ,     
107  , L1_DoubleIsoTau30er2p1                                         , 0      , 0      , 0      , 0      , 0      , 0      , Tau         , Slim          ,                                 ,     
108  , L1_DoubleIsoTau32er2p1                                         , 0      , 1      , 0      , 0      , 1      , 1      , Tau         , Slim          ,                                 ,     
109  , L1_DoubleIsoTau33er2p1                                         , 0      , 1      , 0      , 0      , 1      , 1      , Tau         , Slim          ,                                 ,     
110  , L1_DoubleIsoTau34er2p1                                         , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
111  , L1_DoubleIsoTau35er2p1                                         , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
112  , L1_DoubleIsoTau36er2p1                                         , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
113  , L1_DoubleIsoTau38er2p1                                         , 1      , 1      , 1      , 1      , 1      , 1      , Tau         , Slim          ,                                 ,     
120  , L1_SingleJet16                                                 , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
121  , L1_SingleJet20                                                 , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
122  , L1_SingleJet35                                                 , 22000  , 20000  , 28000  , 28000  , 18000  , 25000  , Jet         , Slim          ,                                 ,     
123  , L1_SingleJet60                                                 , 3000   , 2800   , 4300   , 4300   , 2500   , 3900   , Jet         , Slim          ,                                 ,     
124  , L1_SingleJet90                                                 , 4600   , 4100   , 5200   , 5200   , 3800   , 4700   , Jet         , Slim          ,                                 ,     
125  , L1_SingleJet120                                                , 460    , 410    , 820    , 820    , 380    , 600    , Jet         , Slim          ,                                 ,     
126  , L1_SingleJet140                                                , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
127  , L1_SingleJet150                                                , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
128  , L1_SingleJet160                                                , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim|AlCa     ,                                 ,     
129  , L1_SingleJet170                                                , 0      , 0      , 0      , 0      , 0      , 0      , Jet         , Slim          ,                                 ,     
130  , L1_SingleJet180                                                , 0      , 1      , 1      , 1      , 1      , 1      , Jet         , Slim          ,                                 ,     
131  , L1_SingleJet200                                                , 1      , 1      , 1      , 1      , 1      , 1      , Jet         , Slim          ,                                 ,     
132  , L1_SingleJet35_FWD                                             , 6900   , 6900   , 12000  , 12000  , 6900   , 10000  , Jet         , JME           , L1TDPG99                        , Add 
